광역	시군구	읍면동	투표소	선거인수	투표인수	기권수	무효표	계	더불어민주당	자유한국당	국민의당	바른정당	정의당	새누리당	경제애국당	국민대통합당	늘푸른한국당	민중연합당	한국국민당	혹익당	무소속
서울특별시	도봉구	창3동	소계	11707	8262	3445	30	8232	3328	1804	2085	446	518	23	0	7	0	7	2	7	5
서울특별시	도봉구	창4동	소계	21121	17297	3824	43	17254	7270	3324	4302	1220	1094	15	1	9	4	7	2	4	2
서울특별시	도봉구	창5동	소계	20318	16122	4196	42	16080	6586	3429	3810	1140	1044	29	0	15	2	7	3	5	10
서울특별시	도봉구	도봉1동	소계	19411	14124	5287	82	14042	5271	3580	3518	753	842	18	5	9	6	13	2	7	18
서울특별시	도봉구	도봉2동	소계	23124	18171	4953	64	18107	7310	4228	4418	1052	1027	24	4	11	2	13	6	7	5
서울특별시	노원구	거소·선상투표	거소·선상투표	885	806	79	22	784	256	139	300	44	22	2	3	2	3	1	7	0	5
서울특별시	노원구	관외사전투표	관외사전투표	41225	41218	7	257	40961	19138	5677	9672	3047	3273	55	7	11	9	17	9	8	38
서울특별시	노원구	재외투표	재외투표	4170	3291	879	6	3285	2008	238	494	131	392	14	0	0	0	5	0	2	1
서울특별시	노원구	월계1동	소계	18441	14214	4227	52	14162	5685	3086	3498	951	888	18	1	10	5	4	2	6	8
서울특별시	노원구	월계2동	소계	20324	15280	5044	69	15211	6054	3424	3879	938	836	28	1	7	3	17	6	6	12
서울특별시	노원구	월계3동	소계	24847	19726	5121	60	19666	8397	4195	4609	1202	1172	33	3	10	5	15	11	4	10
서울특별시	노원구	공릉1동	소계	31117	23950	7167	70	23880	10233	4488	5824	1612	1622	35	1	9	5	13	6	13	19
서울특별시	노원구	공릉2동	소계	30680	24751	5929	62	24689	10631	4846	5644	1833	1657	29	2	11	4	10	3	4	15
서울특별시	노원구	하계1동	소계	21031	16510	4521	62	16448	6713	3089	4244	1213	1107	25	1	8	3	16	6	6	17
서울특별시	노원구	하계2동	소계	18438	15171	3267	46	15125	6688	2489	3815	1108	975	19	0	13	3	3	1	1	10
서울특별시	노원구	중계본동	소계	18781	15059	3722	42	15017	6476	2363	3910	1194	1027	17	0	6	3	8	0	1	12
서울특별시	노원구	중계1동	소계	19123	15893	3230	49	15844	7196	2299	3943	1285	1065	19	2	4	2	6	3	8	12
서울특별시	노원구	중계2·3동	소계	30193	23725	6468	94	23631	10154	4376	6024	1541	1422	45	4	14	11	11	4	9	16
서울특별시	노원구	중계4동	소계	16460	12913	3547	35	12878	5342	2492	3475	742	772	22	1	5	5	9	2	5	6
서울특별시	노원구	상계1동	소계	31811	24846	6965	84	24762	9617	4775	7411	1419	1445	36	3	11	4	15	4	11	11
서울특별시	노원구	상계2동	소계	17250	13087	4163	41	13046	5140	2459	3765	851	781	21	2	5	2	4	5	7	4
서울특별시	노원구	상계3·4동	소계	22488	16045	6443	44	16001	5759	3537	4978	782	878	28	4	2	5	15	0	8	5
서울특별시	노원구	상계5동	소계	21385	15835	5550	52	15783	5878	3235	4804	883	913	26	0	15	4	13	2	3	7
서울특별시	노원구	상계6·7동	소계	27507	22282	5225	58	22224	9772	3860	5485	1509	1523	30	0	9	4	13	4	8	7
서울특별시	노원구	상계8동	소계	17021	14164	2857	35	14129	6598	2018	3615	908	945	15	1	6	1	5	3	4	10
서울특별시	노원구	상계9동	소계	16764	13709	3055	36	13673	5567	2497	3697	898	977	13	1	8	0	8	2	2	3
서울특별시	노원구	상계10동	소계	14481	11734	2747	30	11704	4862	2007	3239	755	806	18	0	2	4	2	1	4	4
서울특별시	은평구	거소·선상투표	거소·선상투표	679	632	47	48	584	219	103	181	34	16	4	2	3	10	3	1	0	8
