광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	국민참여당	미래연합	민주노동당	민주당	사회당	자유선진당	진보신당	친박연합	평화민주당	한나라당
경상북도	4700	봉화군	29721	22771	21417	1354	6950	866	293	1154	2773	256	0	698	1997	0	13380
경상북도	4700	울진군	42741	31968	29975	1993	10773	1414	351	1171	3860	202	0	926	2586	0	19465
경상남도	4800	창원시	371540	224875	220677	4198	146665	15239	0	52540	35393	453	4394	9080	10894	0	92684
경상남도	4800	마산시	322188	191149	186713	4436	131039	11326	0	26247	29250	636	5371	5322	9485	0	99076
경상남도	4800	진주시	254687	164340	159996	4344	90347	9941	0	31776	19607	763	3896	3938	13139	0	76936
경상남도	4800	진해시	130168	77352	75308	2044	52816	4484	0	10130	14730	248	2274	1648	3348	0	38446
경상남도	4800	통영시	108127	67414	65053	2361	40713	5028	0	7243	7224	663	1471	1528	3333	0	38563
경상남도	4800	고성군	47716	32470	30962	1508	15246	1496	0	3568	4444	411	844	892	2558	0	16749
경상남도	4800	사천시	89018	61023	58716	2307	27995	2432	0	10642	7914	330	1275	1474	3054	0	31595
경상남도	4800	김해시	359474	195113	190971	4142	164361	21495	0	17599	60068	418	3200	7439	9014	0	71738
경상남도	4800	밀양시	90189	58180	55646	2534	32009	3352	0	4129	11836	353	1516	1796	3768	0	28896
경상남도	4800	거제시	166795	93859	91250	2609	72936	7073	0	13980	11332	368	1489	13095	3539	0	40374
경상남도	4800	의령군	26084	20447	19122	1325	5637	927	0	2635	2713	350	616	935	1378	0	9568
경상남도	4800	함안군	53737	38130	36381	1749	15607	2227	0	5506	5370	206	990	1425	2206	0	18451
경상남도	4800	창녕군	51556	35568	33780	1788	15988	1543	0	3386	5012	269	999	980	2334	0	19257
경상남도	4800	양산시	190214	102676	100231	2445	87538	7507	0	8308	28561	365	1801	2027	4167	0	47495
경상남도	4800	하동군	43182	33205	31401	1804	9977	1946	0	4278	5365	352	883	955	1887	0	15735
경상남도	4800	남해군	42320	33040	30796	2244	9280	1660	0	3009	4603	305	731	1567	1817	0	17104
경상남도	4800	함양군	33908	26709	25220	1489	7199	1395	0	2508	3904	458	743	857	1898	0	13457
경상남도	4800	산청군	30305	22967	21855	1112	7338	940	0	2375	3279	197	618	666	1707	0	12073
경상남도	4800	거창군	50832	37040	34936	2104	13792	1770	0	5350	4559	357	1010	980	2398	0	18512
경상남도	4800	합천군	44353	34161	32083	2078	10192	2076	0	3790	3466	407	901	928	4344	0	16171
제주특별자치도	4900	제주시	305765	195484	190411	5073	110281	20121	0	19357	67494	2347	0	7602	0	4260	69230
제주특별자치도	4900	서귀포시	118333	80602	77690	2912	37731	6437	0	10552	28486	1292	0	2016	0	1259	27648
